Model,Accuracy,Precision,F1-Score,ROC-AUC,Recall
Logistic Regression,0.8041163946061036,0.6611842105263158,0.5929203539823009,0.8458213852075744,0.5374331550802139
Gradient Boosting,0.8019872249822569,0.6655052264808362,0.5779122541603631,0.8428763336691725,0.5106951871657754
Random Forest,0.8019872249822569,0.6643598615916955,0.579185520361991,0.8371657754010696,0.5133689839572193
XGBoost,0.7885024840312278,0.6233766233766234,0.5630498533724341,0.8256774910227596,0.5133689839572193
Decision Tree,0.7601135557132718,0.5497237569060773,0.5407608695652174,0.7542289906740034,0.5320855614973262
